practice_hours_per_week,typing_speed_wpm
8.1,46.6
19.1,96.6
14.9,80.3
12.4,77.4
4.0,38.5
4.0,28.0
2.1,30.4
17.5,91.6
12.4,68.7
14.5,84.0
1.4,31.0
19.4,106.1
16.8,86.4
5.0,39.5
4.5,40.6
4.5,43.8
6.8,46.2
11.0,65.3
9.2,53.1
6.5,41.3
12.6,77.0
3.7,42.3
6.6,47.4
8.0,58.6
9.7,62.5
15.9,83.6
4.8,42.0
10.8,73.1
12.3,71.5
1.9,35.8
12.5,59.4
4.2,41.7
2.2,29.7
19.0,98.3
19.3,101.5
16.4,78.9
6.8,47.5
2.9,34.0
14.0,86.2
9.4,56.9
3.3,29.8
10.4,61.2
1.7,31.7
18.3,98.5
5.9,42.1
13.6,79.7
6.9,49.5
10.9,70.6
11.4,64.4
4.5,37.3
19.4,99.5
15.7,78.6
18.9,100.9
18.0,96.9
12.4,72.1
18.5,96.5
2.7,24.3
4.7,37.6
1.9,26.3
7.2,46.2
